# universe-profile	proofbound
# accepted-plan	docs/plans/P1-flight-recorder-plan.md
# accepted-plan	docs/plans/P5-PROOFBOUND-INTENT-PROVENANCE-v3.md
# accepted-plan	docs/plans/P6-CONSOLIDATION-PLAN-draft2.md
row_id	category	subject	observation	probe	disposition	decision	evidence
C1-034	C1	undocumented-make:mutants	A public Make target is not documented in README.md or CLAUDE.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C1-035	C1	mechanism:scripts/p6-task5-review.sh	A live authority names the Task 5 requirement-review closure checker.	path:scripts/p6-task5-review.sh	close-in-P6	—	scripts/p6-task5-review.sh
C2-001	C2	gate-row:Secrets / force-push / Bash-writes to INDEX.md	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-002	C2	gate-row:Hand-edit of `@generated` files (Write/Edit channel)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-003	C2	gate-row:Broken `VD-` refs in repo .md just written	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-004	C2	gate-row:Repo-wide link-lint (VD- refs resolve; advisory rows dated & unexpired)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-005	C2	gate-row:Generated-files freshness (regenerate = no diff)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-006	C2	gate-row:Generated-files freshness (data-gate witness)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-007	C2	gate-row:Law citation lint (data-gate witness)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-008	C2	gate-row:SPEC invariant numbering (data-gate witness)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-009	C2	gate-row:Invariant table lint (data-gate witness)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-010	C2	gate-row:Link lint (data-gate witness)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-011	C2	gate-row:Kernel build/test/lint (data-gate witness)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-012	C2	gate-row:Kernel build + tests + lint (`go build ./...`, `go test ./... -count=1`, `golangci-lint run ./...`)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-013	C2	gate-row:Witness emission preserves the real gate result without depending on Proofbound	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-014	C2	gate-row:Projection rebuild and ledger verification	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-015	C2	gate-row:P2 data-gate canary/enforcement (`make-check-success`)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-016	C2	gate-row:Hooks actually fire	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-017	C2	gate-row:state.md TOUCHED-IN-HEAD + clean worktree at session end	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-018	C2	gate-row:Commit cadence — uncommitted work must not outlive the window	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-019	C2	gate-row:SPEC proving-test cells contain one machine-readable `file_test.go::TestName` token (or a retired `—`)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-020	C2	gate-row:Cleanroom — tracked content matches no forbidden pattern	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-021	C2	gate-row:Law 7 has a mechanical trigger — a lesson class seen twice has a compiled response	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-022	C2	gate-row:Figure provenance in the residual list	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-023	C2	gate-row:`make check` never passes `-short`	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-024	C2	gate-row:Build Law numbers are permanent — no insert, re-order or re-use	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-025	C2	gate-row:A skipped test is declared, or it is not coverage	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-026	C2	gate-row:A SPEC must not prescribe an invocation the code does not make	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-027	C2	gate-row:Resume note is live state (Law 10)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-028	C2	gate-row:Mutation sweep — every survivor is declared	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-029	C2	gate-row:SPEC invariant IDs are permanent — no insert, re-order, re-use or silent retitle	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-030	C2	gate-row:Spec-before-code for kernel packages	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-031	C2	gate-row:Meta-tax ≤ 25% bootstrap / ≤ 10% steady (BUDGET HOME)	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-032	C2	gate-row:Off-machine backup of this repo	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-033	C2	gate-row:Proofbound legacy identity aliases	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-034	C2	gate-row:Identity inventory has zero unclassified legacy-name hits	The registry row requires an existence, self-test, Make-DAG, tier, owner, and expiry audit.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-035	C2	make-short-useful	make short previously ran only hooks-test and now includes the short Go suite.	shell-test:scripts/tests/make-contract.test.sh	close-in-P6	—	Makefile,scripts/tests/make-contract.test.sh
C2-036	C2	full-invariant-citation-resolution	Every current package-SPEC citation now resolves to an exact current file and test function.	shell-test:scripts/invariant-lint.sh	close-in-P6	—	scripts/invariant-lint.sh,kernel/internal/core/SPEC.md,kernel/internal/gates/SPEC.md,kernel/internal/store/SPEC.md
C2-037	C2	legacy-alias-due	The legacy Proofbound aliases became due at P6 start and require explicit removal or decision.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-038	C2	undocumented-gate:gates/intent-delivery-readiness.yaml	A tracked gate definition is not named by exact path in docs/gates.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-039	C2	undocumented-gate:gates/intent-reference-integrity.yaml	A tracked gate definition is not named by exact path in docs/gates.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-040	C2	undocumented-gate:gates/intent-verdict-integrity.yaml	A tracked gate definition is not named by exact path in docs/gates.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C2-041	C2	undocumented-gate:gates/make-check-success.yaml	A tracked gate definition is not named by exact path in docs/gates.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C3-001	C3	package:internal/cli	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/cli	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-002	C3	package:internal/connector/checks	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/checks	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-003	C3	package:internal/connector/git	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/git	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-004	C3	package:internal/connector/git/gitcmd	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/git/gitcmd	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-005	C3	package:internal/connector/github	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/github	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-006	C3	package:internal/connector/intent	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/intent	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-007	C3	package:internal/connector/intent/records	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/intent/records	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-008	C3	package:internal/connector/intent/specdir	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/intent/specdir	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-009	C3	package:internal/connector/reviews	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/reviews	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-010	C3	package:internal/connector/sessions	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/connector/sessions	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-011	C3	package:internal/core	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/core	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-012	C3	package:internal/gates	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/gates	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-013	C3	package:internal/projections	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/projections	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-014	C3	package:internal/store	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/store	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-015	C3	package:internal/twin	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/twin	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-016	C3	package:internal/migration	Current production package needs final-commit tree binding, calibrated mutation evidence, and non-author acceptance.	acceptance:internal/migration	close-in-P6	—	docs/verification/p6-task8-package-results-e4c8e77.tsv,docs/verification/verdicts/p6-task8-current-round1-e4c8e77.md
C3-017	C3	package-test-only:internal/specfirst	`go list ./internal/...` includes a test-only package that must be explicitly excluded from the production acceptance set.	path:kernel/internal/specfirst/SPEC.md	close-in-P6	—	docs/plans/p6-task8-package-acceptance-SPEC.md
C4-001	C4	connector:checks	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-002	C4	connector:git	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-003	C4	connector:git/gitcmd	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-004	C4	connector:github	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-005	C4	connector:intent	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-006	C4	connector:intent/records	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-007	C4	connector:intent/specdir	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-008	C4	connector:reviews	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-009	C4	connector:sessions	Production connector surface needs current live, synthetic, or none classification with exact evidence.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-010	C4	sessions-live-corpus	Sessions lacks the ratified genuine quiescent JSONL acceptance, zero-append replay, and parsed/skipped counts.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-011	C4	github-narrowness	GitHub allowlist, bound, scope, exact-commit join, missing-data behavior, and tenant identity need current re-proof.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C4-012	C4	delivery-boundary-order	The explicit delivery boundary needs a self-test proving all promoted witnesses refresh and ingest before enforcement.	artifact:docs/verification/p6-connector-reality.md	close-in-P6	—	docs/verification/p6-connector-reality.md
C5-001	C5	route:git:commit.recorded:projection	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-002	C5	route:git:commit.recorded:verify	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-003	C5	route:git:commit.recorded:twin	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-004	C5	route:git:commit.recorded:gates	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-005	C5	route:checks:check.run:projection	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-006	C5	route:checks:check.run:verify	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-007	C5	route:checks:check.run:twin	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-008	C5	route:checks:check.run:gates	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-009	C5	route:sessions:session.observed:projection	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-010	C5	route:sessions:session.observed:verify	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-011	C5	route:sessions:session.observed:twin	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-012	C5	route:sessions:session.observed:gates	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-013	C5	route:reviews:review.verdict:projection	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-014	C5	route:reviews:review.verdict:verify	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-015	C5	route:reviews:review.verdict:twin	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-016	C5	route:reviews:review.verdict:gates	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-017	C5	route:reviews:requirement.reviewed:projection	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-018	C5	route:reviews:requirement.reviewed:verify	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
C5-019	C5	route:reviews:requirement.reviewed:twin	Registered event route needs consume, ignore, or reject classification with a proving test.	artifact:docs/verification/p6-event-route-matrix.md	close-in-P6	—	docs/verification/p6-event-route-matrix.md
